,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,objective,measures_0,measures_1,threshold,pos_0,pos_1,index
0,0.05,-0.10874373592284574,0.13931627981677652,-0.12833197034250451,-0.17810788131380928,-0.13589554850643135,-0.04357619760473743,-0.020901574848701164,0.16201701129931848,-0.22218997034497537,-0.3571335557751107,0.03036919134862498,-0.11966016289111307,0.08023055298345008,0.016987570638977843,-0.11284540180527143,-0.08666135396150558,0.058541638069305686,-0.3382059553907954,-0.040222321799200225,-0.35217043478652377,0.008639121644980619,0.1773804020782492,0.32713336731887266,0.2041423203514416,-13.913025127877042,0.19036038921136944,4.286981346729189,-13.913025127877042,-9.587069925307409,-9.350690636293788,88
1,0.05,-0.019943341328438786,-0.04272303486235205,-0.21815477981793382,-0.02612316848466219,0.14263894311374217,-0.013268689885654812,0.07834844850058692,-0.06243098766182234,0.3999116697998555,-0.07957802784033824,0.13956387873945786,-0.15639515928907544,0.1523537531651487,-0.03366181791365018,-0.06885050342696543,0.049046906370246265,-0.07046316680035505,-0.0807474162530741,-0.20530918566163167,-0.03665513475843606,0.20438876679438941,-0.0406342265131137,0.053160711173470813,-0.06260156704460824,-14.433360252540957,0.20724602072734413,2.687927621821571,-14.433360252540957,-10.627906361135233,-9.050366732274197,114
2,0.05,-0.03499832745496878,0.10042298966817927,0.08918977036776196,-0.0734327964977446,-0.014318849629862525,-0.03554647363243509,0.10085003973253247,0.007899801087490416,-0.16486080491000232,-0.1373404993066642,-0.13122822293463735,0.008767993302752916,-0.30575778897724265,0.1577121410816945,-0.045380931726411576,0.48740984341577637,0.22648720992467597,-0.05485769341922591,0.04255099999172009,0.12104009485124678,-0.1673011471417139,-0.0032995582307669214,0.05138992886470369,-0.2716872580624322,-13.739056966452347,0.4213196175872473,-1.0,-13.739056966452347,-8.996455933155534,-7.056491313470564,224
3,0.05873707339153762,0.15560259023413667,0.1441514690523461,0.019638592025226664,0.17218357837559878,-0.014826341052395386,0.12257771442039422,0.2615092921281773,0.11987169769141567,0.16871434190332024,-0.20254893866242504,-0.31346112312484914,-0.3399940272090306,0.12423368439357117,0.472404520123476,-0.19569304518997868,-0.051859021449121995,-0.1346378271415027,-0.2709035883452251,-0.4271260590579481,-0.15447637615620857,-0.470735861215806,0.5139968136368818,-0.026761363706759633,0.007600105650759914,-13.937461289626004,0.49414020017726834,2.674304752539097,-13.937461289626004,-9.63404789314438,-9.299735938688116,254
4,0.05,0.18270979077151422,0.13064209783330355,-0.11078041682456727,0.18929660023456624,-0.04491620220968162,-0.09132484694220716,-0.14424303650353312,0.0483474120129452,0.2076437751210369,-0.05122748746166364,0.12094950779777948,-0.19034997555314231,0.12507140559425906,0.31093338034727225,-0.13450901613028102,-0.011870324541277226,-0.04469761698439961,-0.10659795780445466,-0.16695869517938813,-0.08488828637329876,-0.5618685378904894,0.20198355871762325,0.5375272062801003,-0.09404441232497397,-13.989077684020975,0.4639860081742324,5.038770624841373,-13.989077684020975,-9.743584357129306,-9.539234746080801,257
5,0.08048367853841998,-0.05730571464427785,-0.3072669321904892,-0.0897058324289835,-0.4822220424151194,-0.12014716913405207,-0.23221484720540594,-0.12782269175120167,0.45174333181686205,-0.4143969865121859,-0.3025250598657856,0.07535836046945685,0.30984043178487525,-0.07189504101608828,0.001088594959784344,-0.5380430488941012,-0.07316228574901223,0.24879157546682504,-0.32825481902505005,-0.3538567756177361,-0.38755711462997094,0.6773738052215944,0.2630721412579078,-0.13074645335118293,0.13983452046892897,-14.431216365743843,0.11224705682806117,2.816834357114172,-14.431216365743843,-10.622476989863989,-10.673921999996555,58
6,0.05,0.29702098185995424,0.13840654163141125,-0.2510032769940849,0.11336004153065368,0.44789057685869055,-0.14251445325836692,-0.07315378484047547,-0.06975367767032253,-0.14878470144605038,-0.07671568089992664,0.202243061903152,-0.17712166303357746,-0.23798930058851872,-0.08279198851221062,0.07517748124952284,-0.022888034484000758,0.1598383688982246,-0.00109433790587288,-0.09255664773142006,0.18787314971806063,0.42423582243672847,0.057445104940522865,0.11840013575090899,0.295356424819709,-14.29078651927367,0.1277028433578615,4.212340426894648,-14.29078651927367,-10.354493195822238,-9.68474456057142,60
7,0.11780262295281743,-0.004684515405539269,0.22803817304578752,-0.047561676007566014,-0.22825815643036224,0.0976797857081694,-0.24359985128546344,-0.1367808945324026,0.2911821748361543,-0.3106114135590935,-0.09188076014103459,-0.11420494469694399,0.2332136098625529,-0.05453391363844763,0.1738692185267398,-0.4491375972926329,-0.32898140733736997,0.39694769847692446,-0.2624458609672039,-0.07676202480012506,-0.47702085323577276,0.08171054436122072,0.7050052482020019,-0.04093272307997459,0.07142128886170102,-11.841705635570651,0.15011737342773032,-1.0,-11.841705635570651,-5.742721361202647,-9.766269596047325,84
8,0.05,0.3964055787250602,0.28023477581790707,-0.19100205777858015,-0.2215720440285951,-0.20699620313777595,-0.6894353781259335,-0.013728358011089223,-0.192645159325393,0.5523123014249108,-0.11496724147162976,0.48672453233288615,-0.13532041810815454,0.4275129647635145,-0.06240026850237043,0.2014027632238765,0.6537079206409186,-0.552595768778527,-0.41211621628274403,-0.5964093613527903,-0.4415833045522487,0.4757317032158603,0.13285172815098822,0.30185174270254456,0.3408860516482573,-13.386400942594813,0.26405103518356493,-1.0,-13.386400942594813,-8.542849810225876,-9.045753780650323,140
9,0.05,0.04049541235340323,0.09277846969662462,0.00830949191640215,-0.19268291014011885,-0.009775109922548784,0.004965402742022999,0.16825281597139258,-0.0916477149304145,-0.4130662152421878,-0.2287510631854774,0.165214122547118,-0.049866356584403485,-0.4465436891367952,0.14100872730832614,-0.18862686710413284,0.21909954513217372,0.14396315624781458,0.003953609616291209,-0.036460585601763296,0.016669827216310898,0.034677000132845054,0.48267544560419445,-0.29641594412075833,-0.29161332067947343,-14.074083372327124,0.4412085274668649,4.675353393940923,-14.074083372327124,-9.90121302074108,-9.138033374509805,228
