,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,objective,measures_0,measures_1,threshold,index
0,0.0710189936682582,-0.7989512085914612,-0.16301636397838593,0.6418142154812814,-0.08695128411054609,-0.6670052796602249,0.7253766283392906,-0.24367668777704243,-0.5041386425495148,-0.7556435629725456,0.5498457580804825,0.15047664046287534,0.5002561375498773,-0.3881329625844956,-0.5798482924699784,-0.6714779511094093,-0.2745753154158592,0.6665350079536438,-0.6403032690286636,0.13879933357238772,-0.7520853221416474,-0.7411717884242535,0.2664483468979597,-0.7481415728107095,0.26251974888145924,-13.660618214909741,0.1095019524062274,0.09167585680585902,-13.660618214909741,10
1,0.1772060951218009,0.3014098778367044,0.31729543954133976,0.014070469141006355,-0.26386942118406287,0.20148900449275975,-0.5620745167136194,0.09595020711421964,0.12460872530937203,0.3460231587290764,-0.1685303479433061,-0.46412102878093725,0.29142911881208416,0.3254784613847733,-0.2304473176598548,0.2829555198550222,-0.3154810816049577,-0.1944926336407662,0.7145599365234375,0.26789030730724356,0.20251778960227965,0.6004312327131629,-0.5577980848029256,0.3445669496431947,-0.5709840590134263,-13.538292020612873,0.2528983838666901,0.18328652224590813,-13.538292020612873,30
2,0.1849145209416747,0.23083240985870357,0.1654638677835465,-0.7073567360639572,0.6207609370350837,0.5031192973256111,-0.47101140618324283,0.03741954565048222,0.013716150820255235,0.6719363033771515,-0.46968770623207096,-0.21619682461023337,-0.5106782734394073,0.18648610860109327,0.39123641997575764,0.32056263983249655,0.17840932011604305,-0.21468691229820258,0.7269306585192681,-0.3677723437547684,0.4328073710203171,0.5321807563304901,-0.10003468953073025,0.6233235513791442,-1.2912044925615191,-11.22881854235833,0.3934366689770648,0.3827105192162668,-11.22881854235833,41
3,0.1000483188778162,-0.5093354597687721,-0.4559240505099297,-0.6562689140439034,0.08053965121507645,-0.04827998429536817,0.6092940747737885,-0.3546778678894043,-0.4676099166274071,0.16324103474617002,0.2944593742489814,0.6891098722815514,-0.4389702543616295,-0.5279628351330757,0.02045695930719371,-0.7679591253399849,0.380767783522606,0.5042270034551621,-0.7203999698162079,0.6758081659674644,-0.6710795029997826,0.7133739553391933,0.9844918632879853,-0.39435553550720215,-1.4731120197102427,-14.289411449722405,0.34297157291672614,0.4550694823460592,-14.289411449722405,42
4,0.22122677545994524,0.5842095762491226,-0.2866460800170899,0.04840448349714277,0.11036143898963924,0.7787331178784371,-0.3663785979151726,-0.6885722815990448,-0.14424505382776265,-0.47604014724493027,0.07423441112041473,-0.4009804487228394,-0.3251465708017349,-0.10765319466590884,0.6522656455636024,-5.853474140171677e-05,0.46861756891012196,0.17162295281887052,-0.2859686508774758,-0.1231878399848938,0.7735508874058723,0.36364527326077223,-1.281336366198957,-0.8992807231843472,1.0366686377674341,-13.971077683040308,0.4806496844406049,0.7148801750165757,-13.971077683040308,63
5,0.2323199911043048,0.693330991268158,0.22992791086435327,-0.49034894406795504,-0.3224097162485123,-0.6281935214996338,0.6889288350939751,-0.4846113204956055,0.460667359828949,-0.34048080146312715,-0.22725481092929845,-0.3645782977342606,-0.7392190158367158,-0.7051330953836441,-0.005743655562400862,0.27442098408937454,0.5969452098011971,0.43684589415788655,-0.059266597032547,-0.47949553132057193,-0.4718679547309876,1.4533327789977193,0.8783565983176231,-0.6073694201186299,-1.3273166483268142,-14.375590899224527,0.5880170901898614,0.3124005907670232,-14.375590899224527,71
6,0.1895288574043644,0.12463596444576978,0.17148522529750962,0.02380559369921688,-0.2868328280746941,0.6534471266902906,-0.18085316717624575,0.0934052132070067,0.24726544553413835,0.2814199527725563,-0.48321608006954186,-0.3613176051527271,0.4231533047743123,0.6784471266902905,-0.12308760480955244,-0.27580819064750856,0.011103521287441367,-0.28948294455185114,0.713548246771097,-0.3117450788617135,0.183435537852346,-0.24726067611481994,1.0052953641861677,0.6993763684295118,-0.4219844061881304,-14.072913103088652,2.6832282604280286,0.2313817200525842,-14.072913103088652,91
7,0.19468609839677814,-0.14954962730407717,-0.06687115132808685,-0.23885052651166916,-0.36366122812032703,0.6792879477143288,0.38850323259830466,0.7563237458467484,0.7031520858407021,-0.5448804885149002,-0.5068487629294396,-0.13037265837192535,-0.15430327802896504,-0.26855297982692716,-0.1431742087006569,-0.256426765024662,-0.6129246354103088,0.011687441170215584,0.13303556740283962,0.27200222611427316,-0.11605193018913273,-0.9496232997626066,0.003247596323490143,-1.2457397812977433,-0.12312184553593397,-13.588912050179854,0.9515565677482128,0.6017760691675416,-13.588912050179854,93
8,0.24245796166360378,0.0641981825232506,0.45387937575578685,0.7913367688655855,-0.6146788641810418,0.38434458971023555,-0.5886568799614906,0.1734330996870994,0.15178468823432922,-0.059275965392589614,-0.3235054448246956,-0.5298119843006135,0.4469517439603805,0.7482130110263825,-0.6068962067365646,0.2186059325933456,-0.07209473401308064,-0.1520010083913803,0.6093341007828712,-0.40478117316961293,0.5388132616877557,-0.5453531518578529,-0.8697223914787173,0.50688187032938,0.07015259005129337,-10.4405468162571,0.9321367206863929,0.8572062322561749,-10.4405468162571,94
9,0.1355372941121459,-0.039131805300712585,0.2855779528617859,-0.10086106657981875,-0.7942321717739106,-0.43983515799045564,0.03625676333904271,0.4823151156306267,0.43466983139514936,0.5956834197044374,-0.14529744386672971,0.766717652976513,0.33576935678720465,0.31852837055921546,-0.06258089244365694,0.5509742304682732,-0.7851483196020127,-0.5221062034368515,0.3999146133661271,0.39587498605251303,-0.4417485132813454,-0.1560738617554307,1.352180597372353,0.8244676552712917,-0.3778497604653239,-14.164398384058618,3.0280998828892143,2.4378131523296007,-14.164398384058618,99
