,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,objective,measures_0,measures_1,threshold,chars_0,chars_1,index
0,0.05,-0.32914104589013876,0.21946476789428984,-0.1320535978242964,-0.03812489566724725,0.008905878573079881,-0.08476735887283979,0.30863687664192563,0.18088260839835638,-0.4449381454500613,-0.34510687147400465,0.1768809391917926,0.04935836157366341,0.20350243799170356,-0.11868470458126956,0.008802819985256796,0.07303168266451154,-0.11522768821747215,0.14617984430256797,0.05977824128365181,-0.07071627063936532,-0.045772611864538466,0.06756585758908873,0.3414003817090693,-0.5643546299712323,-12.686415127343494,-11.073724915846876,-8.01645139559248,-12.686415127343494,0.49029895892441405,2.4190921924975335,61
1,0.05,0.6376447451622508,0.4725760395781439,0.29315313635207874,-0.3051447272582106,0.2255408158355458,0.2177685536357391,0.1081694788840266,0.1980571861980111,0.8,0.45725296168220336,-0.048252795225153494,-0.11348607969816142,0.4296567670588267,0.32122502133396313,0.14376131663442931,0.3972034177321115,0.4537269133507456,0.19009573538032198,-0.13483636487407358,0.22180699138086074,0.8428087917491756,-0.4967020105862933,0.22774724279854977,1.386464193464306,-12.139722589137925,-10.009539937455925,-10.986379416850863,-12.139722589137925,0.0325921195570793,9.960912841620143,87
2,0.10827230166363691,0.31100606472780856,0.009580501969305141,0.3162128735339667,0.006037540382091598,0.051572285828064446,-0.31762869409918393,0.257267480522465,0.012694358255509207,0.25862951247347177,0.43279896420740605,-0.33138601744843144,-0.36889367228546144,-0.12925670598305328,0.30289462875455114,-0.8,0.03889889567474995,0.17677785128410714,0.1273227734841812,-0.05600193623507148,0.30944122853359324,0.2683621328776413,0.32780246759474807,0.588371633570919,-0.010034345227227515,-12.156305997012215,-10.08048961037407,-9.58833664788226,-12.156305997012215,0.5876185644361466,1.4250315919319694,88
3,0.11522306705676436,0.4249403074347329,-0.13110741654154892,0.11223216495401991,-0.13485426154560157,0.3580747085809233,0.5864269417895552,-0.268260033789009,0.03203557622681049,0.6443368714991952,0.5236580028404072,-0.4626165012505991,-0.791317037408314,0.2042481771409475,0.19856783590198898,-0.54737286455144,0.03077179872277719,-0.5967984885850373,-0.354601111544571,-0.7593749436957511,0.04660451096468671,-0.38262302397663817,-0.1697163552926635,0.6810099335110233,0.40056137158529803,-9.538712779900408,-5.19046643185729,-10.734209283179133,-9.538712779900408,0.6208214961947843,0.9231409060111816,227
4,0.05,0.32573859216718754,0.1481241278390808,0.19767241957291204,0.06325826127268526,0.07779787078795627,-0.17299922532622886,0.05430291346761615,0.10108592063364663,0.19018410477384282,0.4270044093875061,-0.16763439443438016,-0.25454904649038346,0.1796937535621515,0.12121999634833576,-0.6073341174398246,-0.154359736103878,0.17358187167071779,0.12516356511113097,-0.20283372956805465,-0.3272529404239489,-0.1312536352931472,-0.47472590181420327,0.452217052220923,0.6284695316613573,-6.808627316774551,-1.007242466807312,-10.807762578944246,-6.808627316774551,0.38723734595142756,0.8801307082599586,339
5,0.05203712868258562,0.5423493313481011,0.3670364508154927,0.3128163598389926,-0.5438635055269648,0.36341487782378074,-0.6490183903927241,-0.7770526101092903,0.3429577639223893,0.8,0.4290697232278521,-0.599593681037528,-0.16161137034543926,0.1257661719172805,0.21663175878610735,-0.8,0.49162280005156944,0.3510828506193377,0.6214403007004243,0.346633985601318,-0.48757938873122236,1.5,-0.1656513797248506,-0.3468519736608508,0.1526879525363473,-12.635278683556468,-11.0518298996762,-10.507027592561945,-12.635278683556468,0.5175333831665035,1.0259231870575622,59
6,0.13018508518813418,-0.14908101949614982,-0.028271497255510286,0.0007464981648274173,-0.16740327673630276,-0.4924443349111049,-0.3026739610685848,-0.21381122446807097,-0.209978883847302,0.8,0.3249221302734291,0.2709085154817898,0.19430670076347545,0.14834527686695392,-0.2409531060525165,0.3450133463386817,-0.15801242868270216,-0.2293550588573702,-0.27035039870590716,0.12581478094632453,0.2922698750958675,-1.2826398756094308,0.5791199032908264,-0.19318493674624723,0.05151365433952802,-11.122382049473416,-8.0411990070276,-10.610746509401608,-11.122382049473416,0.6584199734650037,1.3780848903623797,143
7,0.05,0.16652407890516327,0.12749234922393932,0.01315549273577643,0.12357922297852264,0.1859303281083561,-0.24388836535140807,0.05272702167357581,0.11631201755004443,0.16353647110361072,0.1164955190091363,-0.049733649363800286,-0.2390416667066664,-0.015387189419094532,0.008716899450565363,-0.6256655761429922,0.24783486222317885,0.3209101498953698,0.004752311307629639,-0.12192243926981096,-0.31851634560111447,0.3545182284486982,0.1331351454226728,0.05550705108507059,0.4193664608868443,-10.58527076580671,-7.045514171567955,-10.554438411805624,-10.58527076580671,0.28652843303023084,0.9266455077487287,171
8,0.05,0.3229733040413702,0.1661778505360077,-0.25108255359525994,0.04200114005709383,-0.37566271736237855,-0.37490681862935565,0.21595029500010834,-0.3197203526710811,0.38978708337052614,0.3668445905888826,-0.0555353940539951,0.20989920827783637,0.04976621128063523,-0.24248235756568903,-0.21723730234306501,0.09381980352863019,0.2913904578378197,0.15596744451411368,0.13013673364696482,-0.4173721872068329,0.07400653736084836,0.2980515601874944,-0.5449134415905551,0.9782587115585107,-10.663520047069328,-7.183875547128077,-9.060963198208933,-10.663520047069328,0.5000851958908908,0.5117820463711377,172
9,0.10906531171700827,0.40092934384379486,0.12494766439635319,0.20224523365612107,0.010003527503274184,-0.14868625732871407,-0.1622830944201704,0.027113900452669613,0.030117101181387523,0.10617143764533499,0.5408392263847355,0.05786455851643113,-0.2976314917761449,0.03436606693141517,0.36100705581857273,-0.6868978785857485,0.12920058824848785,0.16216173371784776,-0.008396006479125723,-0.09533140946781009,-0.0647149144846243,-0.20855091531260064,-0.0011076538836269356,0.5306679251320245,0.4619322756581987,-11.015694999450426,-5.448553513137398,-1.9674737888820175,-11.015694999450426,0.5593299096897302,1.5519462009907992,236
