,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,objective,measures_0,measures_1,threshold,chars_0,chars_1,chars_2,chars_3,chars_4,index
0,0.05824093514668181,-0.038598283136432175,-0.001984782209250714,-0.01024340762208132,0.030216870218469034,0.013233485212309853,-0.026926603359423627,0.019098305383960075,0.030511849269997726,0.06257532397244847,0.08663553420510334,0.04541196271559526,-0.14922299490960922,-0.044490154176155636,0.09958928559671541,0.05234425489973257,-0.03496766519614062,-0.10061645733213839,-0.032019442826325045,0.079361167973446,0.10290356982561374,-0.12114993941012026,-0.17398440696365147,0.08318842783946791,-0.06008705734594073,0.13340480695950305,-11.130663429762933,-11.189935030205362,0.13340480695950305,0.1888584760672771,3.5841143428107607,0.6311544120784157,1.1869807287768026,8.897585895365284,58
1,0.06560469815490705,-0.028644256497937413,0.08833665585917305,0.08961447703687585,-0.05806618181656633,-0.07723355503413781,0.02986900732230216,0.042761009489226266,-0.018601146544972625,0.0060065943483396285,0.06951687558744524,0.12929260607856569,-0.09011464146293093,-0.10275318723060509,0.04162752074836096,0.11646097179764434,-0.09928487871521408,-0.009433822448110413,0.07013230726031083,0.04807844878460458,-0.02878401349322414,-0.03228563804173766,0.0768027889592845,-0.016400560823613478,0.156308861687626,0.13647044002846934,-11.495799278523911,-10.683104787149414,0.13647044002846934,0.15690532613177327,9.960912841620143,0.5641001663032779,1.5632969409300626,11.455205541976273,59
2,0.06740225235338848,-0.04936940192408592,0.0023438825053204923,0.12431060938695027,-0.021391110518577505,-0.14754072850782876,0.017915971325492427,-0.08314689136865253,0.10190286614076088,0.03808284606956529,0.05172976343609521,0.09236235683185484,-0.005440188030645903,-0.07989777385462615,0.14616485312246313,0.04367439714739953,-0.146486973846453,-0.037533629702573124,-0.02485586441890249,0.0788627976683745,-0.03496615720426388,-0.07788882365019098,0.017631519838219534,-0.1180231393060549,-0.028115522232312028,1.2411265955026367,-10.733882549581107,-10.812480409313642,1.2411265955026367,0.43945764119862674,9.960912841620143,0.6073652766457341,0.7913644237732489,0.6376178116244127,87
3,0.05,-0.007092763144022406,-0.00881516198893927,0.009945788719567493,0.025083404125585136,-0.07541523160333882,-0.02159445139231767,-0.04397249113869775,0.024593069782686078,0.03610045604577174,0.0522415295856737,0.06815730834795383,-0.023511334468670143,0.006278497430562898,0.07074841231674257,0.00964937380832681,-0.06258810043899268,-0.04281334368924397,-0.05054152649955713,0.013719337377243455,0.0946687144436151,0.0029893680914638934,0.004978788876497409,0.04104028240430492,-0.04599998587347064,0.3781119315268021,-10.638326681184495,-6.601084580382207,0.3781119315268021,0.2742199386895657,2.15175346811152,0.6152670793853208,4.437008697379843,11.734643441330626,91
4,0.05,-0.013071816136117109,0.02938324633633368,-0.017077930796675748,-0.01702921344588071,-0.01127760225274697,0.004622013596879281,0.10270123486859056,0.007439396937109914,0.006757253761682259,0.014043569925704307,0.03135955202093828,0.05271126885192092,0.06549028958544038,0.026958682081884813,0.025249980013405855,0.05882670543799028,-0.04178053242551675,-0.0500518035491498,-0.004222922977323991,0.03818330595458202,0.044581784876971974,0.0902660122041319,-0.07784911446934817,0.0051828117835692866,0.614232378711871,-0.7446537408524624,-8.1233880549669,0.614232378711871,0.19206614872636218,0.7469899779868808,0.6311069664763208,9.651138786737665,15.712520409584103,369
5,0.0668966217905644,0.04836066991259449,-0.010228199731703053,0.027343520685768057,-0.0752192775424099,-0.03247603579423698,-0.005526310427672803,-0.02359225477619288,-0.05177504388713146,0.007769741599753913,-0.09300070575511114,0.08058877489037121,0.014326488454960234,0.006316559765553797,-0.022606256411838263,-0.1055068827596548,0.09077531557731618,0.00952106196254734,-0.029857942862014507,-0.03991102263267535,-0.029056312002991386,0.15302895732360342,-0.1375688066903401,-0.18515187432127592,-0.2394346240107237,0.10292975096476344,-10.695989141871411,-9.178780907625962,0.10292975096476344,0.6595087684586433,2.800032448026555,0.4879867320491191,1.9511238197840624,18.955878174153966,88
6,0.054339416292698145,0.030990355738968318,0.051805081939220635,0.046077792439058386,-0.04455568811206545,-0.14495296072801625,-0.008052723701828357,-0.03578374076346812,-0.021450646041722206,-0.011187447150260078,0.04218991472031559,0.16957205312241638,-0.09023296751552815,-0.20857004121946007,0.1168212248502347,0.09485432447239098,0.016060680138641037,-0.019683037890285443,-0.040303883610505124,0.04652469738859833,0.020430928890700563,-0.26293972269931465,0.15299424041113474,-0.12724755157683543,0.2443680305086998,0.5429277884108443,-2.2384009762991615,-11.074998340802482,0.5429277884108443,0.4391090234073412,0.5321616375193408,0.5694397074310249,7.7242791854246455,14.22708387801202,310
7,0.055047724651990516,-0.0026114656721177004,-0.13106910812587544,-0.0692514825086761,0.13521304837233364,0.09354188817243145,-0.13919930909000955,-0.0013942063585360431,-0.03444973700127547,-0.06635938117202476,0.12923070476413012,-0.05067256973889381,-0.06740724312343477,0.18910987102055954,-0.08662562098995144,-0.0026338898850543357,0.023014564071822667,-0.041619500770886594,-0.04966694635062279,0.038593106619445816,0.06276106965360133,-0.11642864534011148,0.03724866524685658,-0.16642579654680467,0.08324501718806453,0.3639664289507883,-2.576451658426483,-10.89540941568395,0.3639664289507883,0.5106275066889744,0.9198257591513649,0.4519568392892761,7.385001313365538,20.290336486951272,311
8,0.05913517285973689,-0.07682041202477026,0.06785387895609452,-0.013129661012363349,0.054046075738452354,0.060906253835719286,-0.07005896593072722,-0.09317315333990103,0.12483328857517383,0.07803098841816482,-0.07100093414710544,0.052232654455329625,0.08815482200916544,-0.11702341172600429,-0.04361189903833314,0.1376880602918859,-0.04534384734475215,-0.10913000085246494,0.01723331885024597,-0.012284667615372842,0.09741518232793546,-0.1144530082839576,-0.4351910463779514,-0.10325979662956909,0.16313264759087648,0.06428079518816673,-10.954761514160381,-11.128245902989182,0.06428079518816673,0.2583822264580088,3.6673850670095454,0.6366346609534524,1.0046250203668226,15.628696213636154,86
9,0.05334375435292498,0.00857022692680276,-0.11285888318140085,-0.02534917970459162,0.11557545973322332,0.13224668845066687,-0.10327276511587194,0.053549170273062704,-0.028781978767967897,-0.008461996668161359,0.02956244592911593,-0.07442926833490714,-0.01840404634037003,0.17422952910486103,-0.07763898495083346,0.045096337954724716,0.07688414076127897,-0.1284885617452686,-0.06311074267304766,0.01984406844982186,0.051971926501303646,-0.09134027946706004,-0.06832639213231377,-0.2250431209429196,0.14981244333675126,0.04244972875631744,-9.014428684435938,-10.94784058118284,0.04244972875631744,0.275430937030029,3.61758955461123,0.40122554046806863,0.9474757326006078,22.319947862083875,115
10,0.05,0.0072134125742986535,0.032538004588936006,0.060252141735667765,-0.02578157748667785,-0.11147302212932145,0.0061707501561836416,0.0029480378862040066,-0.04651104656872472,-0.017516179985313268,0.08593235776494607,0.12747810710474652,-0.003606899333674765,-0.04595824825418212,0.0550023012524501,-0.0019947529225936202,-0.06366414978220503,0.006640428465379274,-0.04945572998439867,0.026882042501354994,0.11019096428198222,-0.0202513821736465,0.11538970252622247,-0.003001069962763857,0.026896309789222674,0.6210665990696065,-9.756008448493631,-1.1395253651805426,0.6210665990696065,0.34987931704341707,2.8959187286657806,0.5430151680394909,9.849178936110587,15.858490781608968,124
11,0.058888124267140324,0.048162616345128244,0.05369676366515579,-0.03248558404688869,-0.026148441787437172,0.026170130089439338,0.021307061050952904,0.0017440473146498646,-0.045292542983641,-0.05117843331214025,-0.06277716183777207,0.06398323843373685,0.05836096544787723,0.049360435095888194,-0.004825232199111913,-0.0772825164709976,0.04578401598280817,0.014907147210062408,-0.04142551766611913,-0.012363366466563282,-0.10486384108839893,0.044177514814819206,-0.05817040776665705,-0.1495622724496176,-0.16586058225974448,0.72205708162209,-3.200093760940448,-10.86072095443342,0.72205708162209,0.49206141419930616,2.7365387838569952,0.49691878071125456,6.763142020772939,9.366492196959893,283
12,0.052940885496223826,0.01488752373947892,0.010462296839630294,0.04020323577880628,0.012334379085781194,-0.029673097259115048,-0.05302954082665091,-0.06783776425342368,0.0921176344267438,0.12467512716314907,-0.09902427654220614,0.03888982001088738,0.003909422179370431,-0.013849686838524734,0.08631754090050872,0.07764785626098702,0.007621678654681968,-0.07035403764671314,0.002071139729074796,0.004793811179981289,0.11612334215030963,0.02889170666717119,-0.07228119617271796,-0.14087188601383274,0.04348907415220153,0.5079961654596302,-1.0313573106516578,-8.8933139384751,0.5079961654596302,0.49404306038488705,0.6757871792989785,0.625416868071653,9.172920228476881,18.057065883907427,341
13,0.05630645888594802,-0.10753435383637727,0.016605848695680894,0.11323366696894142,-0.03434984239287004,-0.05951219261442922,-0.07825570181177191,-0.03394951743653592,0.049862198909687204,-0.0032530532725740524,0.0627442627584304,0.036424992456165484,-0.0024004329937709415,-0.05967773165042323,0.08489468350209292,0.03409448044132396,-0.08725675972049093,-0.00643850092920519,-0.05432526839074822,0.010280432457441965,-0.010739751224328617,-0.018754437226028937,0.06777520929603992,-0.04711133758560326,0.009038378875345504,0.09937511456411975,-8.57052412994418,-10.4212086101365,0.09937511456411975,0.20292455496691192,4.98452576441597,0.5316515867712289,1.5004348239940815,15.098697803522597,143
14,0.05,-0.07444978644438771,-0.040843392171306496,-0.08419483115387229,0.015297260787232411,0.0828360336682993,-0.10054973059452921,0.07536734698945642,0.022342043858170763,-0.00666088716897675,-0.03571610832730358,0.020453925002410764,0.09468265672159677,0.13509137730116202,0.10058814385506648,0.05367456753654018,0.048323867116259606,-0.04442982610090529,-0.036769298692623284,-0.0002143409634765142,0.0375768585902895,-0.026566717711379223,-0.08005851554726665,-0.0670545728496682,0.04711776237438235,0.3448212521430348,2.182673629851725,-6.015130455254353,0.3448212521430348,0.35542919830368996,1.065336539755463,0.6023335741206458,13.120943165695971,38.051434139138536,455
15,0.05346247343011054,0.03218912492241359,0.019884100252205404,0.11325113485718744,0.013347245695894702,-0.07603491561211762,0.02543982963989274,-0.006138085378807485,-0.14755147002044333,-0.03365670961051333,0.13197547632252088,0.21439877037068156,0.007533344785558822,-0.004507598368111633,-0.01669316980234083,0.02144663781538455,-0.06158920477257758,0.012253709408094428,0.01922615257806786,0.007371039316372192,0.12858497997709462,-0.267101508072042,-0.2508317132498256,0.14688279947827024,0.07993496592309306,0.1489657174721614,-10.841968174055914,-7.962430765091914,0.1489657174721614,0.3337226600685842,2.0410384003095876,0.5882287704981692,3.148666311656929,21.136851921955465,90
